Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOL046C,YOL046C,,1.13025,0.066,1.13323,0.044,0.00644,0.066,0.00006
NAHCO3,NAHCO3,YOL045W,PSK2,,0.4678,0.243,1.04581,0.033,-0.58415,0.243,0.0308
NAHCO3,NAHCO3,YOL067C,RTG1,,1.19975,0.063,0.95301,0.007,0.24532,0.063,0.00004
NAHCO3,NAHCO3,YOL065C,INP54,,0.48502,0.009,0.9348,0.014,-0.44947,0.009,0.00012
NAHCO3,NAHCO3,YOL064C,MET22,,0.36529,0.014,0.82276,0.008,-0.45932,0.014,0.00002
NAHCO3,NAHCO3,YOL063C,CRT10,,1.13542,0.032,1.01666,0.035,0.12122,0.032,0.00001
NAHCO3,NAHCO3,YOL062C,APM4,,1.14297,0.066,1.03466,0.009,0.11154,0.066,0.00005
NAHCO3,NAHCO3,YOL061W,PRS5,,0.77763,0.013,0.96453,0.01,-0.18407,0.013,0
NAHCO3,NAHCO3,YOL060C,MAM3,,0.61271,0.01,0.95547,0.016,-0.3438,0.01,0.0001
NAHCO3,NAHCO3,YOL059W,GPD2,,1.06426,0.037,0.98944,0.005,0.07583,0.037,0.00001
NAHCO3,NAHCO3,YOL057W,YOL057W,,0.62384,0.027,0.92729,0.005,-0.30322,0.027,0.00002
NAHCO3,NAHCO3,YOL056W,GPM3,,0.7639,0.033,0.98404,0.002,-0.22241,0.033,0.00062
NAHCO3,NAHCO3,YOL085C,YOL085C,,1.0666,0.098,0.95114,0.006,0.11046,0.099,0.00022
NAHCO3,NAHCO3,YOL084W,PHM7,,1.28395,0.074,1.01259,0.008,0.27206,0.074,0.00005
NAHCO3,NAHCO3,YOL083W,ATG34,,0.60679,0.01,0.99452,0.005,-0.38988,0.01,0
NAHCO3,NAHCO3,YOL082W,ATG19,,1.34611,0.029,1.04555,0.018,0.29435,0.029,0
NAHCO3,NAHCO3,YOL081W,IRA2,,0.3006,0.052,0.85572,0.019,-0.55395,0.052,0.00977
