Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOR202W,HIS3,,0.98791,0.178,1.04016,0.158,-0.00483,0.178,0
NAHCO3,NAHCO3,YBL032W,HEK2,,1.20614,0.078,1.00875,0.021,0.19761,0.078,0.00007
NAHCO3,NAHCO3,YBL031W,SHE1,,0.95499,0.036,0.89638,0.008,0.0626,0.036,0.00002
NAHCO3,NAHCO3,YBL029W,YBL029W,,1.26784,0.142,0.98194,0.017,0.28446,0.142,0.00038
NAHCO3,NAHCO3,YBL028C,YBL028C,,1.47208,0.179,1.08202,0.06,0.39101,0.179,0.00049
NAHCO3,NAHCO3,YBL027W,RPL19B,,1.31345,0.007,1.05772,0.027,0.25772,0.007,0.00001
NAHCO3,NAHCO3,YBL024W,NCL1,,0.84345,0.036,0.95776,0.022,-0.11506,0.036,0.00002
NAHCO3,NAHCO3,YBL021C,HAP3,,0.77438,0.007,0.82131,0.024,-0.05038,0.007,0.00003
NAHCO3,NAHCO3,YBL019W,APN2,,1.0173,0.013,0.95789,0.019,0.06197,0.013,0.00005
NAHCO3,NAHCO3,YBL017C,PEP1,,1.22736,0.048,1.13698,0.046,0.09001,0.048,0.00002
NAHCO3,NAHCO3,YBL052C,SAS3,,1.18756,0.039,0.99587,0.01,0.19444,0.039,0.00001
NAHCO3,NAHCO3,YBL051C,PIN4,,1.1784,0.098,1.03688,0.011,0.13844,0.098,0.00016
NAHCO3,NAHCO3,YBL049W,MOH1,,1.07283,0.061,1.04734,0.009,0.02155,0.061,0.00005
NAHCO3,NAHCO3,YBL048W,YBL048W,,1.09006,0.062,0.98866,0.025,0.10232,0.062,0.00005
NAHCO3,NAHCO3,YBL047C,EDE1,,1.20641,0.026,1.06655,0.025,0.13252,0.026,0
NAHCO3,NAHCO3,YBL046W,PSY4,,0.85306,0.058,0.97102,0.018,-0.11689,0.058,0.00009
NAHCO3,NAHCO3,YBL043W,ECM13,,0.85956,0.013,0.97801,0.006,-0.11987,0.013,0.00008
NAHCO3,NAHCO3,YBL042C,FUI1,,0.54707,0.025,0.7113,0.017,-0.16292,0.025,0.00002
NAHCO3,NAHCO3,YAL017W,PSK1,,0.92559,0.072,1.04017,0.045,-0.12443,0.073,0.00013
NAHCO3,NAHCO3,YBL039C,URA7,,1.14413,0.061,0.99565,0.044,0.1483,0.061,0.00004
NAHCO3,NAHCO3,YBL037W,APL3,,1.05683,0.037,1.1004,0.005,-0.04425,0.037,0.00001
NAHCO3,NAHCO3,YBL036C,YBL036C,,0.79785,0.08,0.94213,0.021,-0.14153,0.08,0.00028
NAHCO3,NAHCO3,YBL064C,PRX1,,0.89095,0.035,0.90052,0.01,-0.00767,0.035,0.00002
NAHCO3,NAHCO3,YBL063W,KIP1,,1.39553,0.019,1.08452,0.038,0.3218,0.019,0
NAHCO3,NAHCO3,YBL062W,YBL062W,,0.65277,0.008,0.98798,0.03,-0.33022,0.008,0.00005
NAHCO3,NAHCO3,YBL061C,SKT5,,0.98573,0.027,1.03148,0.026,-0.05456,0.027,0.00001
NAHCO3,NAHCO3,YBL060W,YEL1,,1.25629,0.031,1.03196,0.021,0.22329,0.031,0
NAHCO3,NAHCO3,YBL059W,YBL059W,,1.19011,0.029,1.02699,0.019,0.163,0.029,0
NAHCO3,NAHCO3,YAL015C,NTG1,,0.78599,0.061,1.01229,0.021,-0.22827,0.061,0.00013
NAHCO3,NAHCO3,YBL057C,PTH2,,1.30808,0.055,1.04021,0.007,0.26464,0.055,0.00002
NAHCO3,NAHCO3,YBL056W,PTC3,,1.27927,0.065,1.03904,0.035,0.23521,0.065,0.00004
NAHCO3,NAHCO3,YBL055C,YBL055C,,0.97282,0.164,1.01387,0.018,-0.04162,0.164,0.00128
NAHCO3,NAHCO3,YBL054W,TOD6,,0.86126,0.042,0.9827,0.007,-0.12487,0.042,0.00003
NAHCO3,NAHCO3,YBL053W,YBL053W,,0.78669,0.044,0.86332,0.001,-0.07601,0.044,0.00005
NAHCO3,NAHCO3,YBL079W,NUP170,,0.61234,0.027,0.88891,0.009,-0.27678,0.027,0.00002
NAHCO3,NAHCO3,YBL078C,ATG8,,0.48626,0.008,0.92918,0.013,-0.4399,0.008,0
NAHCO3,NAHCO3,YBL075C,SSA3,,0.96533,0.051,1.06422,0.002,-0.09925,0.051,0.00004
NAHCO3,NAHCO3,YBL072C,RPS8A,,1.37214,0.014,1.14844,0.03,0.21897,0.014,0.00003
NAHCO3,NAHCO3,YAL014C,SYN8,,1.127,0.036,0.94226,0.041,0.18066,0.036,0.00001
NAHCO3,NAHCO3,YBL071C,YBL071C,,1.07094,0.046,0.99562,0.026,0.08193,0.046,0.00002
NAHCO3,NAHCO3,YBL070C,YBL070C,,1.03096,0.041,1.00325,0.022,0.02407,0.041,0.00002
NAHCO3,NAHCO3,YBL069W,AST1,,1.17451,0.014,1.08874,0.036,0.08767,0.014,0
NAHCO3,NAHCO3,YBL068W,PRS4,,1.21324,0.061,1.04142,0.029,0.17376,0.061,0.00004
NAHCO3,NAHCO3,YBL067C,UBP13,,1.14495,0.062,1.0577,0.031,0.07644,0.062,0.00004
NAHCO3,NAHCO3,YBL066C,SEF1,,1.26328,0.069,1.04234,0.007,0.2221,0.069,0.00004
NAHCO3,NAHCO3,YBL065W,YBL065W,,1.09094,0.031,0.9387,0.023,0.1461,0.031,0.00001
NAHCO3,NAHCO3,YBL094C,YBL094C,,0.41673,0.042,0.74016,0.004,-0.32554,0.042,0.0033
NAHCO3,NAHCO3,YBL091C-A,SCS22,,1.18831,0.034,0.98346,0.024,0.20131,0.034,0.00001
NAHCO3,NAHCO3,YAL013W,DEP1,,0.60161,0.046,0.73173,0.012,-0.13162,0.046,0.00013
NAHCO3,NAHCO3,YBL091C,MAP2,,1.13705,0.021,1.04081,0.007,0.09502,0.021,0.00011
NAHCO3,NAHCO3,YBL089W,AVT5,,1.0284,0.005,1.0941,0.051,-0.05958,0.005,0.00001
NAHCO3,NAHCO3,YBL088C,TEL1,,1.33436,0.052,1.14961,0.041,0.17629,0.052,0.00002
NAHCO3,NAHCO3,YBL087C,RPL23A,,1.10331,0.044,0.97414,0.007,0.13064,0.044,0.00002
NAHCO3,NAHCO3,YBL086C,YBL086C,,0.82958,0.032,0.98877,0.01,-0.16128,0.032,0.00002
NAHCO3,NAHCO3,YBL085W,BOI1,,0.83437,0.086,0.95956,0.018,-0.12501,0.086,0.0003
NAHCO3,NAHCO3,YBL083C,YBL083C,,0.65361,0.016,1.00784,0.061,-0.34135,0.016,0.0002
NAHCO3,NAHCO3,YBL082C,ALG3,,0.54823,0.04,0.96225,0.035,-0.40631,0.04,0.0001
NAHCO3,NAHCO3,YBL081W,YBL081W,,1.25753,0.044,1.06039,0.015,0.19662,0.044,0.00001
NAHCO3,NAHCO3,YAL011W,SWC3,,0.59214,0.001,0.92745,0.035,-0.33407,0.001,0
NAHCO3,NAHCO3,YBR001C,NTH2,,1.02493,0.003,0.99607,0.042,0.03555,0.003,0
NAHCO3,NAHCO3,YBL107C,MIC23,,1.00005,0.012,1.01862,0.014,-0.0184,0.012,0
NAHCO3,NAHCO3,YBL106C,SRO77,,1.14703,0.013,1.00851,0.075,0.11564,0.013,0
NAHCO3,NAHCO3,YBL104C,SEA4,,1.08175,0.045,0.94558,0.022,0.13321,0.045,0.00002
NAHCO3,NAHCO3,YBL103C,RTG3,,0.69347,0.049,0.93828,0.019,-0.24318,0.049,0.0001
NAHCO3,NAHCO3,YBL102W,SFT2,,1.05847,0.072,0.9996,0.054,0.06113,0.072,0.00008
NAHCO3,NAHCO3,YBL101C,ECM21,,1.13214,0.081,1.05147,0.043,0.09375,0.081,0.0001
NAHCO3,NAHCO3,YBL100C,YBL100C,,0.71007,0.068,0.99614,0.025,-0.28116,0.068,0.00024
NAHCO3,NAHCO3,YBL098W,BNA4,,1.07462,0.041,1.00491,0.026,0.07494,0.041,0.00002
NAHCO3,NAHCO3,YBL096C,YBL096C,,1.11181,0.024,0.97256,0.037,0.15002,0.024,0
NAHCO3,NAHCO3,YAL010C,MDM10,,1.1852,0.012,1.05297,0.027,0.1342,0.012,0
NAHCO3,NAHCO3,YBL095W,YBL095W,,0.90861,0.126,1.08101,0.054,-0.17143,0.126,0.00072
NAHCO3,NAHCO3,YBR016W,YBR016W,,0.86105,0.055,1.28638,0.009,-0.42641,0.055,0.00007
NAHCO3,NAHCO3,YBR015C,MNN2,,0.65193,0.063,0.96665,0.046,-0.31089,0.063,0.00025
NAHCO3,NAHCO3,YBR014C,GRX7,,1.09996,0.079,1.00585,0.016,0.0936,0.079,0.0001
NAHCO3,NAHCO3,YBR013C,YBR013C,,1.17897,0.037,1.03616,0.022,0.14321,0.037,0.00001
NAHCO3,NAHCO3,YBR012C,YBR012C,,0.70434,0.008,0.96107,0.005,-0.25763,0.008,0.00005
NAHCO3,NAHCO3,YBR010W,HHT1,,1.21141,0.051,1.01801,0.015,0.19177,0.051,0.00002
NAHCO3,NAHCO3,YBR009C,HHF1,,1.16018,0.113,1,0.012,0.15367,0.113,0.00025
NAHCO3,NAHCO3,YBR008C,FLR1,,1.26932,0.098,1.03367,0.021,0.23026,0.098,0.00013
NAHCO3,NAHCO3,YAL008W,FUN14,,1.19105,0.05,1.00706,0.047,0.18536,0.05,0.00002
NAHCO3,NAHCO3,YBR007C,DSF2,,1.04611,0.048,1.00836,0.013,0.04377,0.048,0.00003
NAHCO3,NAHCO3,YBR006W,UGA2,,1.07192,0.038,1.00846,0.054,0.0526,0.038,0.00001
NAHCO3,NAHCO3,YBR005W,RCR1,,1.10971,0.098,1.29668,0.01,-0.18283,0.098,0.00019
NAHCO3,NAHCO3,YBR030W,RKM3,,0.60922,0.023,0.88682,0.065,-0.29353,0.023,0.00049
NAHCO3,NAHCO3,YBR028C,YPK3,,1.08988,0.064,0.99482,0.012,0.09709,0.064,0.00006
NAHCO3,NAHCO3,YBR027C,YBR027C,,1.13657,0.089,0.90623,0.032,0.23353,0.089,0.00013
NAHCO3,NAHCO3,YBR026C,ETR1,,0.8093,0.057,0.87283,0.04,-0.05879,0.057,0.0001
NAHCO3,NAHCO3,YBR025C,OLA1,,1.35268,0.07,1.19936,0.006,0.15614,0.07,0.00004
NAHCO3,NAHCO3,YBR024W,SCO2,,0.75921,0.076,1.06581,0.005,-0.30478,0.076,0.00027
NAHCO3,NAHCO3,YBR023C,CHS3,,0.84035,0.049,1.02572,0.016,-0.1875,0.049,0.00005
NAHCO3,NAHCO3,YAL007C,ERP2,,0.74551,0.029,0.93406,0.024,-0.1882,0.029,0.00002
NAHCO3,NAHCO3,YBR022W,POA1,,1.19176,0.05,0.95076,0.059,0.23617,0.05,0.00002
NAHCO3,NAHCO3,YBR020W,GAL1,,1.08425,0.046,1.01256,0.011,0.07553,0.046,0.00002
NAHCO3,NAHCO3,YBR019C,GAL10,,1.03622,0.023,1.01763,0.008,0.01725,0.023,0.00016
NAHCO3,NAHCO3,YBR018C,GAL7,,1.38611,0.089,1.53416,0.168,-0.152,0.089,0.00007
NAHCO3,NAHCO3,YBR045C,GIP1,,1.3278,0.033,1.07277,0.007,0.25679,0.033,0
NAHCO3,NAHCO3,YBR044C,TCM62,,1.00505,0.07,0.9463,0.018,0.06344,0.071,0.00009
NAHCO3,NAHCO3,YBR043C,QDR3,,1.02651,0.039,0.98903,0.016,0.03987,0.039,0.00002
NAHCO3,NAHCO3,YBR042C,CST26,,1.12678,0.07,1.06166,0.02,0.06378,0.07,0.00007
NAHCO3,NAHCO3,YBR041W,FAT1,,0.90942,0.009,1.02309,0.016,-0.1169,0.009,0.00003
NAHCO3,NAHCO3,YAL005C,SSA1,,0.66112,0.012,0.88358,0.005,-0.22225,0.012,0.00011
NAHCO3,NAHCO3,YBR040W,FIG1,,0.96152,0.034,1.072,0.022,-0.11469,0.034,0.00001
NAHCO3,NAHCO3,YBR036C,CSG2,,1.00838,0.055,0.93847,0.022,0.06425,0.055,0.00004
NAHCO3,NAHCO3,YBR034C,HMT1,,1.18318,0.006,1.02015,0.007,0.16323,0.006,0.00001
NAHCO3,NAHCO3,YBR033W,EDS1,,1.10415,0.033,1.03727,0.009,0.06733,0.033,0.00001
NAHCO3,NAHCO3,YBR032W,YBR032W,,0.50733,0.002,0.86738,0.02,-0.36644,0.002,0.00001
NAHCO3,NAHCO3,YBR031W,RPL4A,,0.76152,0.019,0.92516,0.04,-0.16548,0.019,0
NAHCO3,NAHCO3,YBR057C,MUM2,,1.18505,0.013,1.09515,0.037,0.08151,0.013,0
NAHCO3,NAHCO3,YBR056W,YBR056W,,0.85499,0.001,1.00841,0.02,-0.15178,0.001,0
NAHCO3,NAHCO3,YAL004W,YAL004W,,0.79336,0.041,1.02587,0.015,-0.22884,0.041,0.00089
NAHCO3,NAHCO3,YBR054W,YRO2,,0.93898,0.01,1.01594,0.022,-0.07901,0.01,0.00004
NAHCO3,NAHCO3,YBR053C,YBR053C,,1.04855,0.019,1.02738,0.014,0.02275,0.019,0
NAHCO3,NAHCO3,YBR052C,RFS1,,1.1805,0.039,0.99155,0.032,0.18877,0.039,0.00001
NAHCO3,NAHCO3,YBR051W,YBR051W,,1.24505,0.104,0.95207,0.014,0.28536,0.104,0.00016
NAHCO3,NAHCO3,YBR050C,REG2,,1.32114,0.01,1.0917,0.013,0.23331,0.01,0.00002
NAHCO3,NAHCO3,YBR048W,RPS11B,,0.95179,0.045,1.00327,0.02,-0.04945,0.045,0.00003
NAHCO3,NAHCO3,YBR047W,FMP23,,1.26211,0.042,1.0367,0.014,0.22707,0.042,0.00001
NAHCO3,NAHCO3,YBR046C,ZTA1,,0.93,0.138,0.93595,0.028,-0.01046,0.139,0.00089
NAHCO3,NAHCO3,YBR071W,YBR071W,,0.96097,0.036,0.92423,0.035,0.03512,0.036,0.00001
NAHCO3,NAHCO3,YAL002W,VPS8,,0.76488,0.103,1.10413,0.093,-0.31195,0.103,0.00067
NAHCO3,NAHCO3,YBR069C,TAT1,,1.15467,0.039,1.06149,0.029,0.09268,0.039,0.00001
NAHCO3,NAHCO3,YBR068C,BAP2,,1.01287,0.011,1.06951,0.01,-0.05385,0.011,0
NAHCO3,NAHCO3,YBR067C,TIP1,,0.84022,0.019,1.0362,0.023,-0.1963,0.019,0
NAHCO3,NAHCO3,YBR066C,NRG2,,1.10338,0.05,1.1321,0.024,-0.02769,0.05,0.00003
NAHCO3,NAHCO3,YBR065C,ECM2,,0.85923,0.057,0.98956,0.026,-0.13045,0.057,0.00008
NAHCO3,NAHCO3,YBR064W,YBR064W,,1.08094,0.037,1.0686,0.045,0.01116,0.037,0.00001
NAHCO3,NAHCO3,YBR063C,YBR063C,,0.74861,0.039,0.97439,0.035,-0.22781,0.039,0.00004
NAHCO3,NAHCO3,YBR062C,YBR062C,,1.09088,0.062,1.02113,0.013,0.06856,0.062,0.00005
NAHCO3,NAHCO3,YBR090C,YBR090C,,0.71389,0.007,0.94873,0.051,-0.22488,0.007,0
NAHCO3,NAHCO3,YBR084W,MIS1,,0.91499,0.007,0.87883,0.003,0.03514,0.007,0.00002
NAHCO3,NAHCO3,YBR083W,TEC1,,1.06156,0.008,1.00336,0.034,0.05029,0.008,0.00002
NAHCO3,NAHCO3,YBR082C,UBC4,,0.83213,0.025,1.01863,0.003,-0.18814,0.025,0.00001
NAHCO3,NAHCO3,YBR076W,ECM8,,0.75247,0.042,0.98617,0.012,-0.23078,0.042,0.00005
NAHCO3,NAHCO3,YBR075W,YBR075W,,0.83715,0.036,1.07851,0.02,-0.23928,0.036,0.00002
NAHCO3,NAHCO3,YBR074W,YBR074W,,1.1856,0.022,1.0721,0.023,0.11329,0.022,0.00011
NAHCO3,NAHCO3,YAL031C,GIP4,,0.70267,0.045,0.89748,0.039,-0.1967,0.045,0.00007
NAHCO3,NAHCO3,YBR073W,RDH54,,1.29035,0.038,1.03942,0.021,0.25194,0.038,0.00001
NAHCO3,NAHCO3,YBR072W,HSP26,,1.11887,0.048,1.00069,0.025,0.12359,0.048,0.00002
NAHCO3,NAHCO3,YBR104W,YMC2,,1.05137,0.048,0.95225,0.035,0.09373,0.048,0.00003
NAHCO3,NAHCO3,YBR103W,SIF2,,1.10974,0.041,0.94072,0.006,0.17172,0.041,0.00001
NAHCO3,NAHCO3,YBR100W,YBR100W,,1.06303,0.07,1.01523,0.015,0.05124,0.07,0.00008
NAHCO3,NAHCO3,YBR099C,YBR099C,,1.08249,0.059,0.99787,0.043,0.08105,0.059,0.00004
NAHCO3,NAHCO3,YBR098W,MMS4,,0.69631,0.051,0.82041,0.008,-0.12198,0.051,0.00011
NAHCO3,NAHCO3,YBR095C,RXT2,,0.8766,0.064,0.72242,0.002,0.15416,0.064,0.00011
NAHCO3,NAHCO3,YAL030W,SNC1,,0.76672,0.02,0.98712,0.032,-0.21428,0.02,0
NAHCO3,NAHCO3,YBR094W,PBY1,,0.74008,0.041,0.96173,0.016,-0.22003,0.041,0.00005
NAHCO3,NAHCO3,YBR092C,PHO3,,0.98281,0.058,1.01897,0.034,-0.03836,0.058,0.00006
NAHCO3,NAHCO3,YBR119W,MUD1,,0.87002,0.063,1.12676,0.011,-0.25789,0.063,0.00177
NAHCO3,NAHCO3,YBR116C,YBR116C,,1.30672,0.068,1.0061,0.04,0.29892,0.068,0.00004
NAHCO3,NAHCO3,YBR114W,RAD16,,1.30555,0.028,1.01739,0.014,0.28373,0.028,0
NAHCO3,NAHCO3,YAL029C,MYO4,,0.78862,0.032,1.00014,0.029,-0.21513,0.032,0.00002
NAHCO3,NAHCO3,YBR111C,YSA1,,0.83523,0.048,0.73887,0.007,0.09858,0.048,0.00005
NAHCO3,NAHCO3,YBR108W,AIM3,,0.79576,0.052,0.96291,0.034,-0.17352,0.052,0.00008
NAHCO3,NAHCO3,YBR107C,IML3,,0.58712,0.019,0.963,0.013,-0.38135,0.019,0.00001
NAHCO3,NAHCO3,YBR106W,PHO88,,0.36637,0.006,0.79023,0.047,-0.41797,0.006,0.00009
NAHCO3,NAHCO3,YBR105C,VID24,,0.79772,0.038,0.92383,0.012,-0.12015,0.038,0.00003
NAHCO3,NAHCO3,YAL028W,FRT2,,1.18257,0.006,1.0192,0.027,0.1693,0.006,0.00001
NAHCO3,NAHCO3,YAL027W,SAW1,,1.07559,0.022,1.00478,0.016,0.07032,0.022,0
NAHCO3,NAHCO3,YBR138C,YBR138C,,1.11978,0.112,1.11274,0.066,-0.00915,0.112,0.00027
NAHCO3,NAHCO3,YBR137W,YBR137W,,1.02913,0.031,0.94855,0.019,0.07868,0.031,0.00001
NAHCO3,NAHCO3,YBR134W,YBR134W,,0.54514,0.076,0.82706,0.04,-0.29095,0.076,0.00073
NAHCO3,NAHCO3,YBR132C,AGP2,,0.37773,0.017,0.71048,0.043,-0.34153,0.017,0.00003
NAHCO3,NAHCO3,YBR131W,CCZ1,,1.04176,0.011,1.21347,0.035,-0.1723,0.011,0.00004
NAHCO3,NAHCO3,YBR130C,SHE3,,1.0921,0.056,1.02234,0.088,0.08311,0.056,0.00004
NAHCO3,NAHCO3,YBR129C,OPY1,,1.12188,0.055,0.98077,0.026,0.13908,0.055,0.00003
NAHCO3,NAHCO3,YBR128C,ATG14,,0.64581,0.035,0.91654,0.05,-0.26901,0.035,0.00004
NAHCO3,NAHCO3,YBR126C,TPS1,,1.0365,0.055,1.04285,0.068,-0.01619,0.055,0.00004
NAHCO3,NAHCO3,YBR125C,PTC4,,1.02926,0.094,1.25414,0.08,-0.23775,0.094,0.00021
NAHCO3,NAHCO3,YAL026C,DRS2,,0.76025,0.012,0.87847,0.009,-0.11863,0.012,0
NAHCO3,NAHCO3,YBR151W,APD1,,0.98981,0.028,1.00653,0.038,-0.01684,0.028,0.00001
NAHCO3,NAHCO3,YBR150C,TBS1,,1.07051,0.044,1.04309,0.007,0.0257,0.044,0.00002
NAHCO3,NAHCO3,YBR149W,ARA1,,1.0138,0.083,1.03499,0.009,-0.02133,0.083,0.00015
NAHCO3,NAHCO3,YBR148W,YSW1,,0.82813,0.007,0.91962,0.047,-0.08613,0.007,0.00002
NAHCO3,NAHCO3,YBR147W,RTC2,,1.01789,0.053,0.97895,0.031,0.0356,0.053,0.00004
NAHCO3,NAHCO3,YBR145W,ADH5,,1.18295,0.054,1.02593,0.005,0.15892,0.054,0.00003
NAHCO3,NAHCO3,YAL023C,PMT2,,0.54318,0.028,1.00222,0.018,-0.46166,0.028,0.00004
NAHCO3,NAHCO3,YBR141C,YBR141C,,1.00527,0.002,0.91865,0.035,0.08513,0.002,0
NAHCO3,NAHCO3,YBR139W,YBR139W,,0.80444,0.009,1.00789,0.074,-0.21799,0.009,0.00004
NAHCO3,NAHCO3,YBR169C,SSE2,,0.89548,0.007,1.01794,0.007,-0.12388,0.007,0.00002
NAHCO3,NAHCO3,YBR168W,PEX32,,0.58958,0.025,0.70842,0.007,-0.11556,0.025,0.00002
NAHCO3,NAHCO3,YBR165W,UBS1,,0.64869,0.018,0.90205,0.022,-0.24798,0.018,0.00027
NAHCO3,NAHCO3,YBR164C,ARL1,,1.07277,0.044,0.98132,0.047,0.10163,0.044,0.00002
NAHCO3,NAHCO3,YBR162W-A,YSY6,,1.00129,0.029,1.05218,0.033,-0.04371,0.029,0.00028
NAHCO3,NAHCO3,YAL022C,FUN26,,0.87444,0.05,0.9778,0.055,-0.08806,0.05,0.00005
NAHCO3,NAHCO3,YBR162C,TOS1,,0.84719,0.047,0.94423,0.023,-0.09843,0.047,0.00005
NAHCO3,NAHCO3,YBR161W,CSH1,,0.9137,0.08,1.05136,0.03,-0.14377,0.08,0.00018
NAHCO3,NAHCO3,YBR158W,AMN1,,0.9122,0.153,1.0102,0.039,-0.10277,0.153,0.00127
NAHCO3,NAHCO3,YBR157C,ICS2,,1.21153,0.042,0.92745,0.045,0.29155,0.042,0.00001
NAHCO3,NAHCO3,YBR182C,SMP1,,1.16215,0.036,1.02123,0.02,0.14085,0.036,0.00001
NAHCO3,NAHCO3,YBR181C,RPS6B,,1.20806,0.088,1.00376,0.03,0.20608,0.088,0.00011
NAHCO3,NAHCO3,YBR180W,DTR1,,1.16823,0.016,1.04009,0.006,0.12538,0.016,0.00007
NAHCO3,NAHCO3,YBR178W,YBR178W,,1.07845,0.047,1.01348,0.005,0.06487,0.047,0.00002
NAHCO3,NAHCO3,YAL020C,ATS1,,0.99266,0.059,0.94922,0.031,0.03711,0.059,0.00006
NAHCO3,NAHCO3,YBR177C,EHT1,,0.68177,0.008,0.97729,0.023,-0.29574,0.008,0.00005
NAHCO3,NAHCO3,YBR176W,ECM31,,0.88072,0.039,0.99505,0.013,-0.11826,0.039,0.00002
NAHCO3,NAHCO3,YBR172C,SMY2,,0.46531,0.102,0.81715,0.044,-0.36027,0.102,0.00275
NAHCO3,NAHCO3,YBR171W,SEC66,,0.56216,0.14,0.75291,0.043,-0.20522,0.14,0.00401
NAHCO3,NAHCO3,YBR170C,NPL4,,1.09326,0.016,0.92273,0.028,0.17379,0.016,0
NAHCO3,NAHCO3,YBR199W,KTR4,,0.99972,0.022,0.96636,0.018,0.03362,0.022,0
NAHCO3,NAHCO3,YBR197C,YBR197C,,1.31856,0.074,1.04694,0.012,0.2698,0.074,0.00005
NAHCO3,NAHCO3,YAL019W,FUN30,,1.10127,0.057,1.03925,0.038,0.06944,0.057,0.00004
NAHCO3,NAHCO3,YBR195C,MSI1,,1.20448,0.082,0.99974,0.014,0.20431,0.082,0.00009
NAHCO3,NAHCO3,YBR194W,AIM4,,0.74368,0.033,0.86264,0.012,-0.11685,0.033,0.00002
NAHCO3,NAHCO3,YBR189W,RPS9B,,1.04852,0.032,0.91846,0.026,0.12929,0.032,0.00001
NAHCO3,NAHCO3,YBR188C,NTC20,,1.06559,0.056,1.06534,0.026,-0.00306,0.056,0.00004
NAHCO3,NAHCO3,YBR187W,GDT1,,1.15977,0.041,1.11141,0.041,0.04637,0.041,0.00001
NAHCO3,NAHCO3,YBR186W,PCH2,,0.72488,0.068,0.98716,0.018,-0.25628,0.068,0.00022
NAHCO3,NAHCO3,YBR185C,MBA1,,0.6745,0.008,0.93433,0.008,-0.262,0.008,0
NAHCO3,NAHCO3,YBR184W,YBR184W,,1.10693,0.046,0.98383,0.015,0.12782,0.046,0.00002
NAHCO3,NAHCO3,YBR183W,YPC1,,0.80002,0.03,0.93262,0.017,-0.13398,0.03,0.00002
NAHCO3,NAHCO3,YAL018C,YAL018C,,1.33515,0.006,1.05039,0.005,0.28201,0.006,0.00001
NAHCO3,NAHCO3,YBR212W,NGR1,,1.10891,0.044,0.97658,0.034,0.12955,0.044,0.00002
NAHCO3,NAHCO3,YBR210W,ERV15,,0.62017,0.028,1.02909,0.012,-0.40746,0.028,0.00003
NAHCO3,NAHCO3,YBR208C,DUR1,,1.16715,0.016,1.02556,0.002,0.14228,0.016,0.00006
NAHCO3,NAHCO3,YBR207W,FTH1,,0.81613,0.111,0.99218,0.003,-0.17548,0.111,0.00068
NAHCO3,NAHCO3,YBR206W,YBR206W,,1.14578,0.054,1.04861,0.017,0.09277,0.054,0.00003
NAHCO3,NAHCO3,YBR205W,KTR3,,1.1238,0.077,1.03786,0.029,0.07877,0.077,0.00009
NAHCO3,NAHCO3,YBR204C,LDH1,,1.29682,0.071,0.99782,0.008,0.29721,0.071,0.00005
NAHCO3,NAHCO3,YBR203W,COS111,,0.90878,0.081,1.01711,0.001,-0.10787,0.082,0.0002
NAHCO3,NAHCO3,YBR201W,DER1,,1.08965,0.07,1.01679,0.02,0.06752,0.07,0.00007
NAHCO3,NAHCO3,YBR223C,TDP1,,1.31982,0.058,1.26597,0.073,0.04654,0.058,0.00002
NAHCO3,NAHCO3,YBR222C,PCS60,,0.62371,0.041,1.07669,0.038,-0.44795,0.041,0.00008
NAHCO3,NAHCO3,YBR221C,PDB1,,0.92763,0.052,0.95817,0.066,-0.01517,0.052,0.00005
NAHCO3,NAHCO3,YBR220C,YBR220C,,0.69386,0.047,0.93808,0.053,-0.24762,0.047,0.00009
NAHCO3,NAHCO3,YBR219C,YBR219C,,0.72146,0.032,0.94349,0.068,-0.2371,0.032,0.00002
NAHCO3,NAHCO3,YBR218C,PYC2,,1.29166,0.081,1.02392,0.017,0.26296,0.081,0.00007
NAHCO3,NAHCO3,YBR217W,ATG12,,0.83736,0.033,0.97776,0.033,-0.1452,0.033,0.00002
NAHCO3,NAHCO3,YBR216C,YBP1,,1.36065,0.102,0.99146,0.01,0.3679,0.102,0.00012
NAHCO3,NAHCO3,YAL054C,ACS1,,0.96623,0.008,0.98533,0.003,-0.01788,0.008,0.00002
NAHCO3,NAHCO3,YBR215W,HPC2,,1.23844,0.058,1.01572,0.013,0.22186,0.058,0.00003
NAHCO3,NAHCO3,YBR214W,SDS24,,0.85161,0.019,1.02171,0.024,-0.1749,0.019,0.00016
NAHCO3,NAHCO3,YBR213W,MET8,,1.06506,0.044,1.14496,0.004,-0.08135,0.044,0.00002
NAHCO3,NAHCO3,YAL053W,FLC2,,1.04658,0.016,0.84378,0.003,0.20326,0.016,0
NAHCO3,NAHCO3,YAL051W,OAF1,,0.958,0.015,1.04103,0.019,-0.08688,0.015,0.00008
NAHCO3,NAHCO3,YAL049C,AIM2,,1.05585,0.045,1.08721,0.016,-0.0349,0.045,0.00061
NAHCO3,NAHCO3,YAL045C,YAL045C,,0.79259,0.016,0.90907,0.006,-0.11409,0.016,0
NAHCO3,NAHCO3,YAL043C-A,YAL043C-A,,0.78482,0.042,0.94171,0.035,-0.16526,0.042,0.00004
NAHCO3,NAHCO3,YAL042W,ERV46,,0.83174,0.022,0.98495,0.004,-0.15181,0.022,0
