Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YGL139W,FLC3,,0.99433,0.014,1.0259,0.064,-0.04646,0.014,0.00007
NAHCO3,NAHCO3,YGL138C,YGL138C,,0.82012,0.063,1.05387,0.028,-0.23666,0.063,0.00013
NAHCO3,NAHCO3,YGL136C,MRM2,,0.65725,0.022,1.18596,0.021,-0.53128,0.022,0.00001
NAHCO3,NAHCO3,YGL133W,ITC1,,1.09602,0.036,0.93871,0.004,0.15694,0.036,0.00001
NAHCO3,NAHCO3,YGL132W,YGL132W,,1.05812,0.039,0.95361,0.015,0.10098,0.039,0.00001
NAHCO3,NAHCO3,YGL161C,YIP5,,0.84476,0.063,1.01499,0.038,-0.18007,0.063,0.00185
NAHCO3,NAHCO3,YGL160W,AIM14,,0.96284,0.06,1.0683,0.089,-0.082,0.06,0.00007
NAHCO3,NAHCO3,YGL159W,YGL159W,,1.30142,0.042,1.04584,0.05,0.25536,0.042,0.00001
NAHCO3,NAHCO3,YGL158W,RCK1,,1.27039,0.044,1.03411,0.016,0.23243,0.044,0.00001
NAHCO3,NAHCO3,YGL157W,ARI1,,0.89959,0.014,1.00156,0.038,-0.09839,0.014,0.00009
NAHCO3,NAHCO3,YGL156W,AMS1,,1.00912,0.009,1.06747,0.005,-0.05956,0.009,0.00003
NAHCO3,NAHCO3,YGL153W,PEX14,,0.8694,0.075,0.93851,0.035,-0.06361,0.075,0.00017
NAHCO3,NAHCO3,YGL152C,YGL152C,,0.99461,0.031,1.02435,0.122,-0.02694,0.031,0.00032
NAHCO3,NAHCO3,YGL151W,NUT1,,1.12266,0.046,1.09473,0.102,0.06024,0.046,0.00002
NAHCO3,NAHCO3,YGL149W,YGL149W,,0.64824,0.024,0.86699,0.038,-0.22588,0.024,0.00044
NAHCO3,NAHCO3,YGL175C,SAE2,,1.00983,0.097,1.07254,0.023,-0.06853,0.097,0.00024
NAHCO3,NAHCO3,YGL174W,BUD13,,0.57964,0.049,0.81868,0.019,-0.23856,0.049,0.00016
NAHCO3,NAHCO3,YGL173C,XRN1,,0.64798,0.017,0.80668,0.047,-0.15923,0.017,0.00024
NAHCO3,NAHCO3,YGL170C,SPO74,,1.18055,0.05,1.03902,0.009,0.13605,0.05,0.00002
NAHCO3,NAHCO3,YGL168W,HUR1,,0.80343,0.006,0.83679,0.007,-0.03289,0.006,0.00002
